key,en,ru,uz
common.apply,Apply,Подать заявку,Ariza berish
common.back,Back,Назад,Orqaga
common.contact,Contact,Контакты,Aloqa
common.error,Error,Ошибка,Xatolik
common.events,Events,События,Tadbirlar
common.featured,Featured,Рекомендуемое,Tanlangan
common.learnMore,Learn More,Узнать больше,Batafsil
common.loading,Loading...,Загрузка...,Yuklanmoqda...
common.news,News,Новости,Yangiliklar
common.readMore,Read More,Читать далее,Ko'proq o'qish
common.share,Share,Поделиться,Ulashish
common.viewAll,View All,Посмотреть все,Barchasini ko'rish
faq.categories.application,Application,Заявка,Ariza
faq.categories.general,General,Общее,Umumiy
faq.categories.programs,Programs,Программы,Dasturlar
faq.questions.accommodation,Are there accommodation facilities?,Есть ли условия для проживания?,Yashash imkoniyatlari bormi?
faq.questions.accommodationAnswer,"Yes, we provide accommodation for students from outside Tashkent. Our residential facilities include dormitories, dining halls, study rooms, and recreational areas, all supervised by qualified staff.","Да, мы предоставляем жилье для студентов из-за пределов Ташкента. Наши жилые объекты включают общежития, столовые, учебные комнаты и зоны отдыха, все под наблюдением квалифицированного персонала.","Ha, biz Toshkentdan tashqaridagi talabalar uchun yashash joyini ta'minlaymiz. Bizning turar joy ob'ektlarimiz yotoqxonalar, oshxonalar, o'quv xonalari va dam olish joylarini o'z ichiga oladi, ularning barchasi malakali xodimlar tomonidan nazorat qilinadi."
faq.questions.applicationDeadline,When is the application deadline?,Когда крайний срок подачи заявки?,Ariza berish muddati qachon?
faq.questions.applicationDeadlineAnswer,"The application deadline for 2025 programs is January 31, 2025. We recommend submitting your application early as spots are limited and filled on a competitive basis.","Крайний срок подачи заявок на программы 2025 года - 31 января 2025 года. Мы рекомендуем подать заявку заранее, так как места ограничены и заполняются на конкурсной основе.",2025 yil dasturlari uchun ariza berish muddati 2025 yil 31 yanvar. O'rinlar cheklangan va raqobat asosida to'ldirilgani uchun arizangizni erta topshirishni tavsiya qilamiz.
faq.questions.applicationFee,Is there an application fee?,Есть ли плата за подачу заявки?,Ariza to'lovi bormi?
faq.questions.applicationFeeAnswer,"No, there is no application fee. Our programs are completely free for selected students, including training, materials, and competition participation.","Нет, платы за подачу заявки нет. Наши программы полностью бесплатны для отобранных студентов, включая обучение, материалы и участие в соревнованиях.","Yo'q, ariza to'lovi yo'q. Bizning dasturlarimiz tanlangan talabalar uchun to'liq bepul, shu jumladan tayyorgarlik, materiallar va musobaqada ishtirok etish."
faq.questions.programDuration,How long are the training programs?,Как долго длятся программы подготовки?,Tayyorgarlik dasturlari qancha davom etadi?
faq.questions.programDurationAnswer,"Program duration varies by subject: Mathematics (6 months), Physics (8 months), Chemistry (7 months), Biology (9 months), and Computer Science (5 months). All programs include intensive training and competition preparation.","Продолжительность программы варьируется в зависимости от предмета: Математика (6 месяцев), Физика (8 месяцев), Химия (7 месяцев), Биология (9 месяцев) и Информатика (5 месяцев). Все программы включают интенсивную подготовку и подготовку к соревнованиям.","Dastur davomiyligi fan bo'yicha farq qiladi: Matematika (6 oy), Fizika (8 oy), Kimyo (7 oy), Biologiya (9 oy) va Informatika (5 oy). Barcha dasturlar intensiv tayyorgarlik va musobaqaga tayyorgarlikni o'z ichiga oladi."
faq.questions.selectionProcess,What is the selection process?,Как проходит процесс отбора?,Tanlov jarayoni qanday?
faq.questions.selectionProcessAnswer,"Selection involves application review, subject-specific assessments, expert evaluation, and interviews. We consider academic performance (40%), problem-solving skills (30%), competition experience (20%), and motivation (10%).","Отбор включает рассмотрение заявки, предметные оценки, экспертную оценку и собеседования. Мы учитываем академическую успеваемость (40%), навыки решения проблем (30%), опыт участия в соревнованиях (20%) и мотивацию (10%).","Tanlov ariza ko'rib chiqish, fan bo'yicha baholash, ekspert baholash va suhbatlarni o'z ichiga oladi. Biz akademik ko'rsatkichlarni (40%), muammolarni yechish ko'nikmalarini (30%), musobaqa tajribasini (20%) va motivatsiyani (10%) hisobga olamiz."
faq.questions.whatIsCenter,What is the Science Olympiad Center?,Что такое Центр научных олимпиад?,Fan Olimpiadasi Markazi nima?
faq.questions.whatIsCenterAnswer,"The Science Olympiad Center is Uzbekistan's premier institution for identifying, training, and supporting talented students in science competitions. We prepare students for national and international olympiads in mathematics, physics, chemistry, biology, and computer science.","Центр научных олимпиад - это ведущее учреждение Узбекистана по выявлению, обучению и поддержке талантливых студентов в научных соревнованиях. Мы готовим студентов к национальным и международным олимпиадам по математике, физике, химии, биологии и информатике.","Fan Olimpiadasi Markazi - bu O'zbekistondagi fan musobaqalarida iqtidorli talabalarni aniqlash, tayyorlash va qo'llab-quvvatlash bo'yicha yetakchi muassasa. Biz talabalarni matematika, fizika, kimyo, biologiya va informatika bo'yicha milliy va xalqaro olimpiadalarga tayyorlaymiz."
faq.subtitle,"Find answers to common questions about our programs, application process, and admission requirements.","Найдите ответы на распространенные вопросы о наших программах, процессе подачи заявок и требованиях к поступлению.","Bizning dasturlarimiz, ariza berish jarayoni va qabul qilish talablari haqidagi keng tarqalgan savollarga javob toping."
faq.title,Frequently Asked Questions,Часто задаваемые вопросы,Tez-tez so'raladigan savollar
faq.viewAllFAQs,View All FAQs,Посмотреть все вопросы,Barcha savol-javoblarni ko'rish
footer.aboutUs,About Us,О нас,Biz haqimizda
footer.contact,Contact,Контакты,Aloqa
footer.copyright,© 2025 Science Olympiad Center. All rights reserved.,© 2025 Центр научных олимпиад. Все права защищены.,© 2025 Fan Olimpiadasi Markazi. Barcha huquqlar himoyalangan.
footer.description,"Nurturing future scientists through world-class olympiad training and international competitions. Identifying talent, fostering excellence, and building Uzbekistan's scientific potential.","Воспитание будущих ученых через олимпиадную подготовку мирового класса и международные соревнования. Выявление талантов, развитие совершенства и создание научного потенциала Узбекистана.","Dunyoning eng yaxshi olimpiada tayyorgarligi va xalqaro musobaqalar orqali kelajak olimlarini tarbiyalash. Talantlarni aniqlash, mukammallikni rivojlantirish va O'zbekistonning ilmiy salohiyatini qurish."
footer.internationalCompetitions,International Competitions,Международные соревнования,Xalqaro musobaqalar
footer.missionVision,Mission & Vision,Миссия и видение,Missiya va ko'rinish
footer.nationalOlympiads,National Olympiads,Национальные олимпиады,Milliy olimpiadalar
footer.news,News,Новости,Yangiliklar
footer.ourTeam,Our Team,Наша команда,Bizning jamoamiz
footer.privacyPolicy,Privacy Policy,Политика конфиденциальности,Maxfiylik siyosati
footer.programs,Programs,Программы,Dasturlar
footer.quickLinks,Quick Links,Быстрые ссылки,Tezkor havolalar
footer.stayConnected,Stay Connected,Оставайтесь на связи,Bog'lanishda bo'ling
footer.termsOfService,Terms of Service,Условия обслуживания,Xizmat ko'rsatish shartlari
hero.applyNow,Apply Now,Подать заявку сейчас,Hozir ariza bering
hero.comprehensiveTraining,Comprehensive Training,Комплексная подготовка,Keng qamrovli tayyorgarlik
hero.comprehensiveTrainingDesc,Structured programs covering all science disciplines,"Структурированные программы, охватывающие все научные дисциплины",Barcha fan sohalarini qamrab oluvchi tuzilgan dasturlar
hero.countries,50+ Countries,50+ стран,50+ davlat
hero.countriesRepresented,Countries Represented,Представленные страны,Vakillik qilgan davlatlar
hero.description,Join thousands of brilliant minds competing in world-class science olympiads. Your journey to international recognition starts here.,"Присоединяйтесь к тысячам блестящих умов, соревнующихся в мировых научных олимпиадах. Ваш путь к международному признанию начинается здесь.",Dunyoning eng yaxshi fan olimpiadalari musobaqalarida qatnashayotgan minglab aqlli yoshlarga qo'shiling. Xalqaro tan olinishga sari yo'lingiz shu yerdan boshlanadi.
hero.dontMiss,Don't miss these incredible opportunities,Не упустите эти невероятные возможности,Bu ajoyib imkoniyatlarni o'tkazib yubormang
hero.eventDate,Event Date,Дата события,Tadbir sanasi
hero.expertMentorship,Expert Mentorship,Экспертное наставничество,Ekspert mentorlik
hero.expertMentorshipDesc,Learn from Olympic medalists and renowned scientists,Учитесь у медалистов олимпиад и известных ученых,Olimpiada medallari sovrindorlari va taniqli olimlardan o'rganing
hero.exploreOlympiads,Explore Olympiads,Изучить олимпиады,Olimpiadalarni ko'rib chiqish
hero.globalNetwork,Global Network,Глобальная сеть,Global tarmoq
hero.globalNetworkDesc,Connect with peers and mentors worldwide,Общайтесь с коллегами и наставниками по всему миру,Dunyoning turli burchaklaridagi tengdoshlar va mentorlar bilan bog'laning
hero.latestNews,Latest News,Последние новости,So'nggi yangiliklar
hero.location,Location,Местоположение,Joylashuv
hero.medalsWon,500+ Medals Won,500+ медалей,500+ medal
hero.missionDescription,We believe every student has the potential to excel in science. Our comprehensive programs combine rigorous training with world-class mentorship.,"Мы верим, что каждый студент имеет потенциал преуспеть в науке. Наши комплексные программы сочетают строгую подготовку с наставничеством мирового класса.",Biz har bir talabaning fan bo'yicha yuksalish salohiyatiga ega ekanligiga ishonamiz. Bizning keng qamrovli dasturlarimiz qat'iy tayyorgarlikni dunyo darajasidagi mentorlik bilan birlashtiradi.
hero.newsHighlights,News Highlights,Новости,Yangiliklar
hero.nurturingScientificExcellence,Nurturing Scientific Excellence,Воспитание научного совершенства,Ilmiy mukammallikni rivojlantirish
hero.ourMission,Our Mission,Наша миссия,Bizning missiyamiz
hero.participants,Participants,Участники,Ishtirokchilar
hero.provenResults,Proven Results,Проверенные результаты,Tasdiqlangan natijalar
hero.provenResultsDesc,Track record of international competition success,Послужной список успехов на международных соревнованиях,Xalqaro musobaqalarda muvaffaqiyatli natijalar
hero.registrationDeadline,Registration Deadline,Срок регистрации,Ro'yxatdan o'tish muddati
hero.startJourney,Start Your Journey,Начать путь,Safar boshlash
hero.students,"10,000+ Students","10,000+ студентов","10,000+ talaba"
hero.studentsTrained,Students Trained,Обученных студентов,Tayyorlangan talabalar
hero.subtitle,Into Excellence,В совершенство,Mukammallikka aylantiring
hero.title,Transform Your Passion,Превратите свою страсть,Sizning ehtirosingizni
hero.upcomingCompetitions,Upcoming Competitions,Предстоящие соревнования,Yaqinlashib kelayotgan musobaqalar
hero.viewAllNews,View All News,Все новости,Barcha yangiliklar
hero.yearsOfExcellence,Years of Excellence,Лет совершенства,Mukammallik yillari
nav.aboutUs,About Us,О нас,Biz haqimizda
nav.biology,Biology,Биология,Biologiya
nav.boardOfTrustees,Board of Trustees,Попечительский совет,Kuzatuv kengashi
nav.chemistry,Chemistry,Химия,Kimyo
nav.computerScience,Computer Science,Информатика,Informatika
nav.contact,Contact,Контакты,Aloqa
nav.documents,Documents,Документы,Hujjatlar
nav.expertCouncil,Expert Council,Экспертный совет,Ekspertlar kengashi
nav.faq,FAQ,Часто задаваемые вопросы,Savol-javob
nav.generalInformation,General Information,Общая информация,Umumiy ma'lumot
nav.howToApply,How to Apply,Как подать заявку,Qanday ariza berish
nav.internationalOlympiads,International Olympiads,Международные олимпиады,Xalqaro olimpiadalar
nav.localOlympiads,Local Olympiads,Местные олимпиады,Mahalliy olimpiadalar
nav.mathematics,Mathematics,Математика,Matematika
nav.newsEvents,News & Events,Новости и события,Yangiliklar va tadbirlar
nav.olympiads,Olympiads,Олимпиады,Olimpiadalar
nav.onlineApplication,Online Application,Онлайн-заявка,Onlayn ariza
nav.organizationInfo,Organization Info,Информация об организации,Tashkilot haqida
nav.ourMission,Our Mission,Наша миссия,Bizning missiyamiz
nav.partners,Partners,Партнеры,Hamkorlar
nav.physics,Physics,Физика,Fizika
nav.prestigiousOlympiads,Prestigious Olympiads,Престижные олимпиады,Prestijli olimpiadalar
nav.programs,Programs,Программы,Dasturlar
nav.regionalInternationalOlympiads,Regional International Olympiads,Региональные международные олимпиады,Mintaqaviy xalqaro olimpiadalar
nav.requiredDocuments,Required Documents,Необходимые документы,Kerakli hujjatlar
nav.rulesOfStay,Rules of Stay,Правила пребывания,Qoidalar
nav.selectionCriteria,Selection Criteria,Критерии отбора,Tanlov mezonlari
nav.winners,Winners,Победители,G'oliblar
news.articleNotFound,Article not found,Статья не найдена,Maqola topilmadi
news.backToAllNews,Back to All News,Вернуться ко всем новостям,Barcha yangiliklarga qaytish
news.backToNews,Back to News,Вернуться к новостям,Yangiliklarga qaytish
news.error,Error,Ошибка,Xatolik
news.goBack,Go Back,Назад,Orqaga
news.linkCopied,Link copied!,Ссылка скопирована!,Havola nusxalandi!
news.linkCopiedDesc,Article link has been copied to clipboard.,Ссылка на статью скопирована в буфер обмена.,Maqola havolasi buferga nusxalandi.
news.loadingArticle,Loading article...,Загрузка статьи...,Maqola yuklanmoqda...
news.minRead,min read,мин чтения,daqiqa o'qish
news.shareArticle,Share Article,Поделиться статьей,Maqolani ulashish
news.shareError,Failed to share article. Please try again.,"Не удалось поделиться статьей. Пожалуйста, попробуйте снова.","Maqolani ulashib bo'lmadi. Iltimos, qayta urinib ko'ring."
news.shared,Shared!,Поделились!,Ulashildi!
news.sharedSuccess,Article shared successfully.,Статья успешно поделена.,Maqola muvaffaqiyatli ulashildi.
news.sharing,Sharing...,Поделиться...,Ulashilmoqda...
news.views,views,просмотров,ko'rishlar
newsEvents.recentNews,Recent News,Последние новости,So'nggi yangiliklar
newsEvents.subtitle,"Stay updated with our latest achievements, program announcements, and upcoming competitions.","Будьте в курсе наших последних достижений, объявлений о программах и предстоящих соревнований.","Bizning so'nggi yutuqlarimiz, dastur e'lonlari va yaqinlashib kelayotgan musobaqalar haqida xabardor bo'ling."
newsEvents.title,Latest News & Upcoming Events,Последние новости и предстоящие события,So'nggi yangiliklar va yaqinlashib kelayotgan tadbirlar
newsEvents.upcomingEvents,Upcoming Events,Предстоящие события,Yaqinlashib kelayotgan tadbirlar
newsEvents.viewAll,View All,Посмотреть все,Barchasini ko'rish
pages.about.achievements,Achievements,Достижения,Yutuqlar
pages.about.description,"Learn about our mission, vision, and the team dedicated to nurturing scientific excellence in Uzbekistan.","Узнайте о нашей миссии, видении и команде, посвященной развитию научного совершенства в Узбекистане.","Bizning missiyamiz, ko'rinishimiz va O'zbekistonda ilmiy mukammallikni rivojlantirishga bag'ishlangan jamoamiz haqida bilib oling."
pages.about.general.aboutCenter,About the Center,О Центре,Markaz haqida
pages.about.general.aboutCenterText1,The Science Olympiad Center is an educational and organizational institution established as a state organization under the Agency for Specialized Educational Institutions of the Ministry of Preschool and School Education.,"Центр научных олимпиад — образовательное и организационное учреждение, созданное как государственная организация при Агентстве специализированных образовательных учреждений Министерства дошкольного и школьного образования.",Fanlar olimpiadasi markazi — Maktabgacha va maktab ta'limi vazirligi huzuridagi Ixtisoslashtirilgan ta'lim muassasalari agentligi tarkibida davlat tashkiloti sifatida tashkil etilgan ta'lim va tashkiliy muassasa.
pages.about.general.aboutCenterText2,"The Center operates based on the advanced initiatives of the President of the Republic of Uzbekistan with the goal of identifying gifted students, developing their scientific potential, and preparing internationally competitive specialists.","Центр работает на основе передовых инициатив Президента Республики Узбекистан с целью выявления одаренных студентов, развития их научного потенциала и подготовки конкурентоспособных на международном уровне специалистов.","Markaz O'zbekiston Respublikasi Prezidentining ilg'or tashabbuslari asosida iqtidorli o'quvchilarni aniqlash, ularning ilmiy salohiyatini rivojlantirish va xalqaro miqyosda raqobatbardosh mutaxassislarni tayyorlash maqsadida faoliyat yuritadi."
pages.about.general.aboutCenterText3,"Its mission is to establish a system for early identification, development, and international preparation of talented students through science olympiads, competitions, and academic challenges under the guidance of qualified mentors.","Его миссия — создать систему раннего выявления, развития и международной подготовки талантливых студентов через научные олимпиады, конкурсы и академические соревнования под руководством квалифицированных наставников.","Uning vazifasi — malakali murabbiylar rahbarligida fan olimpiadalari, musobaqalar va akademik tanlovlar orqali iqtidorli o'quvchilarni erta aniqlash, rivojlantirish va xalqaro tayyorlash tizimini yaratish."
pages.about.general.boardOfTrustees,Board of Trustees,Попечительский совет,Vasiylik kengashi
pages.about.general.developmentStages,Stages of Development and Achievements,Этапы развития и достижения,Rivojlanish bosqichlari va yutuqlar
pages.about.general.futureDirections,Future Directions,Направления развития,Kelajak yo'nalishlari
pages.about.general.internationalOlympiads,International Olympiads,Международные олимпиады,Xalqaro olimpiadalar
pages.about.general.keyObjectives,Key Objectives,Ключевые задачи,Asosiy maqsadlar
pages.about.general.legalDocuments,Legal Documents of the Center,Правовые документы Центра,Markazning huquqiy hujjatlari
pages.about.general.olympiadStats,Olympiad Statistics,Статистика олимпиад,Olimpiada statistikasi
pages.about.general.prestigiousInternational,Prestigious International Olympiads,Престижные международные олимпиады,Nufuzli xalqaro olimpiadalar
pages.about.general.regionalContinental,Regional & Continental Olympiads,Региональные и континентальные олимпиады,Mintaqaviy va kontinental olimpiadalar
pages.about.general.stats.activeStudents,Active Students,Активные студенты,Faol o'quvchilar
pages.about.general.stats.internationalMedals,International Medals,Международные медали,Xalqaro medallar
pages.about.general.stats.partnerCountries,Partner Countries,Страны-партнеры,Hamkor davlatlar
pages.about.general.stats.programsCourses,Programs & Courses,Программы и курсы,Dasturlar va kurslar
pages.about.general.strategicPrinciples,Strategic Principles,Стратегические принципы,Strategik tamoyillar
pages.about.general.subtitle,The Science Olympiad Center is a state educational institution under the Agency for Specialized Educational Institutions of the Ministry of Preschool and School Education of the Republic of Uzbekistan.,Центр научных олимпиад — государственное образовательное учреждение при Агентстве специализированных образовательных учреждений Министерства дошкольного и школьного образования Республики Узбекистан.,Fanlar olimpiadasi markazi — O'zbekiston Respublikasi Maktabgacha va maktab ta'limi vazirligi huzuridagi Ixtisoslashtirilgan ta'lim muassasalari agentligi tarkibidagi davlat ta'lim muassasasidir.
pages.about.general.title,General Information,Общая информация,Umumiy ma'lumot
pages.about.general.watch,Watch,Смотреть,Ko'rish
pages.about.leadership,Leadership,Руководство,Rahbariyat
pages.about.ourHistory,Our History,Наша история,Bizning tarixımız
pages.about.ourMission,Our Mission,Наша миссия,Bizning missiyamiz
pages.about.ourValues,Our Values,Наши ценности,Bizning qadriyatlarimiz
pages.about.ourVision,Our Vision,Наше видение,Bizning ko'rinishimiz
pages.about.partners,Partners,Партнеры,Hamkorlar
pages.about.title,About,О,Biz
pages.about.titleHighlight,Us,нас,haqimizda
pages.apply.applyNow,Apply Now,Подать заявку,Hozir ariza bering
pages.apply.criteria,Selection Criteria,Критерии отбора,Tanlov mezonlari
pages.apply.deadline,Application Deadline,Срок подачи,Ariza berish muddati
