key,en,ru,uz
programDetails.computerScience.topics.codeforces,Codeforces-Style Rounds,Раунды в стиле Codeforces,Codeforces uslubidagi raundlar
programDetails.computerScience.topics.compGeometry,Computational Geometry,Вычислительная геометрия,Hisoblash geometriyasi
programDetails.computerScience.topics.complexity,Time Complexity Analysis,Анализ временной сложности,Vaqt murakkabligi tahlili
programDetails.computerScience.topics.cpp,C++ / Python,C++ / Python,C++ / Python
programDetails.computerScience.topics.debugging,Debugging Techniques,Техники отладки,Xatolarni tuzatish texnikalari
programDetails.computerScience.topics.divideConquer,Divide & Conquer,Разделяй и властвуй,Bo'l va hukmronlik qil
programDetails.computerScience.topics.dp,Dynamic Programming,Динамическое программирование,Dinamik dasturlash
programDetails.computerScience.topics.graphAlgo,Graph Algorithms,Алгоритмы на графах,Graf algoritmlari
programDetails.computerScience.topics.greedy,Greedy Algorithms,Жадные алгоритмы,Ochko'z algoritmlar
programDetails.computerScience.topics.hashing,Hashing,Хеширование,Xeshlash
programDetails.computerScience.topics.io,Input & Output Optimization,Оптимизация ввода/вывода,Kirish va chiqishni optimallashtirish
programDetails.computerScience.topics.ioiArchive,IOI Problem Archive,Архив задач IOI,IOI masalalar arxivi
programDetails.computerScience.topics.numberTheory,Number-Theoretic Algorithms,Теоретико-числовые алгоритмы,Sonlar nazariyasi algoritmlari
programDetails.computerScience.topics.segmentTrees,"Segment Trees, Fenwick Trees","Деревья отрезков, деревья Фенвика","Segment daraxtlar, Fenvik daraxtlari"
programDetails.computerScience.topics.strategy,Strategy & Optimization,Стратегия и оптимизация,Strategiya va optimallashtirish
programDetails.computerScience.topics.strings,String Algorithms,Строковые алгоритмы,Satr algoritmlari
programDetails.computerScience.topics.trees,Trees & Graphs,Деревья и графы,Daraxtlar va graflar
programDetails.curriculumTopics,Curriculum Topics,Темы учебной программы,O'quv dasturi mavzulari
programDetails.duration,Duration,Продолжительность,Davomiyligi
programDetails.intermediate,Intermediate,Средний,O'rta daraja
programDetails.learningObjectives,Learning Objectives,Цели обучения,O'quv maqsadlari
programDetails.level,Level,Уровень,Daraja
programDetails.mathematics.algebra,Algebra,Алгебра,Algebra
programDetails.mathematics.analysis,Mathematical Analysis,Математический анализ,Matematik tahlil
programDetails.mathematics.applicationNote,Open to students with outstanding mathematical talent and demonstrated analytical ability.,Открыто для студентов с выдающимися математическими способностями.,Ajoyib matematik iqtidor va tahliliy qobiliyatga ega talabalar uchun ochiq.
programDetails.mathematics.combinatorics,Combinatorics,Комбинаторика,Kombinatorika
programDetails.mathematics.curriculumDescription,A structured roadmap covering all essential olympiad domains in mathematics.,"Структурированная программа, охватывающая все основные олимпиадные области математики.",Matematikadagi barcha muhim olimpiada sohalarini qamrab oluvchi tuzilgan yo'l xaritasi.
programDetails.mathematics.description,Advanced mathematical problem solving and competition preparation for the International Mathematical Olympiad and other prestigious competitions.,Продвинутое решение математических задач и подготовка к Международной математической олимпиаде и другим престижным соревнованиям.,Xalqaro Matematika Olimpiadasi va boshqa nufuzli musobaqalar uchun ilg'or matematik masala yechish va musobaqaga tayyorgarlik.
programDetails.mathematics.duration,12,12,12
programDetails.mathematics.geometry,Geometry,Геометрия,Geometriya
programDetails.mathematics.medals,"15+ international medals (IMO, ZIO, WMI)","15+ международных медалей (IMO, ZIO, WMI)","15+ xalqaro medal (IMO, ZIO, WMI)"
programDetails.mathematics.numberTheory,Number Theory,Теория чисел,Sonlar nazariyasi
programDetails.mathematics.objectives.1,Master advanced olympiad-style problem-solving methods,Освоить продвинутые методы решения олимпиадных задач,Ilg'or olimpiada uslubidagi masala yechish usullarini o'zlashtirish
programDetails.mathematics.objectives.2,Strengthen logical reasoning and proof-writing skills,Укрепить навыки логического рассуждения и написания доказательств,Mantiqiy fikrlash va isbotlash ko'nikmalarini mustahkamlash
programDetails.mathematics.objectives.3,Build effective contest strategies and time management skills,Развить эффективные стратегии для соревнований и управление временем,Samarali musobaqa strategiyalari va vaqtni boshqarish ko'nikmalarini shakllantirish
programDetails.mathematics.objectives.4,"Enhance abstract thinking across algebra, geometry, number theory, and combinatorics","Усилить абстрактное мышление в алгебре, геометрии, теории чисел и комбинаторике","Algebra, geometriya, sonlar nazariyasi va kombinatorikada mavhum fikrlashni rivojlantirish"
programDetails.mathematics.objectives.5,Prepare for high-performing participation in international mathematics competitions,Подготовиться к успешному участию в международных математических соревнованиях,Xalqaro matematika musobaqalarida yuqori natijalarga tayyorgarlik
programDetails.mathematics.overview,"The Mathematics Program aims to cultivate deep mathematical thinking through systematic training, rigorous problem-solving practice, and exposure to international olympiad standards. Students engage in intensive coursework covering advanced mathematical theories and learn to apply them in non-standard, competition-level problem contexts.","Программа по математике направлена на развитие глубокого математического мышления через систематическое обучение, строгую практику решения задач и знакомство с международными олимпиадными стандартами.","Matematika dasturi tizimli tayyorgarlik, qat'iy masala yechish amaliyoti va xalqaro olimpiada standartlari bilan tanishish orqali chuqur matematik tafakkurni rivojlantirishga qaratilgan. Talabalar ilg'or matematik nazariyalarni qamrab oluvchi intensiv kurslarda ishtirok etadilar va ularni nostandart, musobaqa darajasidagi masala kontekstlarida qo'llashni o'rganadilar."
programDetails.mathematics.overviewExtra,"The curriculum integrates conceptual understanding, creative problem-solving, mathematical proof techniques, competition strategies, and timed assessments. This approach ensures readiness for district, regional, national, and international olympiads.","Учебная программа объединяет концептуальное понимание, творческое решение задач, техники математических доказательств, соревновательные стратегии и временные ограничения.","O'quv dasturi kontseptual tushunish, ijodiy masala yechish, matematik isbotlash texnikalari, musobaqa strategiyalari va vaqtli baholashlarni birlashtiradi. Bu yondashuv tuman, viloyat, milliy va xalqaro olimpiadalarga tayyorlikni ta'minlaydi."
programDetails.mathematics.prereqs.1,Strong foundation in secondary school mathematics,Прочная база в школьной математике,O'rta maktab matematikasida kuchli bilim
programDetails.mathematics.prereqs.2,Demonstrated interest in advanced mathematical problem solving,Продемонстрированный интерес к продвинутому решению задач,Ilg'or matematik masala yechishga qiziqish
programDetails.mathematics.prereqs.3,High level of self-discipline and readiness for intensive training,Высокий уровень самодисциплины и готовность к интенсивной подготовке,Yuqori darajadagi o'z-o'zini intizomga solish va intensiv tayyorgarlikka tayyorlik
programDetails.mathematics.prereqs.4,Successful completion of the Center's competitive entrance examination,Успешное прохождение конкурсного вступительного экзамена,Markazning raqobatbardosh kirish imtihonini muvaffaqiyatli topshirish
programDetails.mathematics.problemSolving,Problem Solving & Competition Preparation,Решение задач и подготовка к соревнованиям,Masala yechish va musobaqaga tayyorgarlik
programDetails.mathematics.program,Program,Программа,Dasturi
programDetails.mathematics.students,50+,50+,50+
programDetails.mathematics.title,Mathematics,Математика,Matematika
programDetails.mathematics.topics.analysisIneq,Inequalities in Analysis,Неравенства в анализе,Tahlildagi tengsizliklar
programDetails.mathematics.topics.arithmetic,Arithmetic Functions,Арифметические функции,Arifmetik funksiyalar
programDetails.mathematics.topics.circleTriangle,Circle and Triangle Geometry,Геометрия окружности и треугольника,Aylana va uchburchak geometriyasi
programDetails.mathematics.topics.complex,Complex Numbers,Комплексные числа,Kompleks sonlar
programDetails.mathematics.topics.constructions,Geometric Constructions & Proofs,Геометрические построения и доказательства,Geometrik qurilishlar va isbotlar
programDetails.mathematics.topics.coordinate,Coordinate Geometry,Координатная геометрия,Koordinatalar geometriyasi
programDetails.mathematics.topics.counting,Counting Principles,Принципы подсчета,Sanash printsiplari
programDetails.mathematics.topics.diophantine,Diophantine Equations,Диофантовы уравнения,Diofant tenglamalari
programDetails.mathematics.topics.divisibility,Divisibility Rules,Правила делимости,Bo'linish qoidalari
programDetails.mathematics.topics.errorAnalysis,Error Analysis & Post-Contest Review,Анализ ошибок и разбор,Xatolar tahlili va musobaqadan keyingi tahlil
programDetails.mathematics.topics.euclidean,Euclidean Geometry,Евклидова геометрия,Evklid geometriyasi
programDetails.mathematics.topics.functionalEq,Functional Equations,Функциональные уравнения,Funksional tenglamalar
programDetails.mathematics.topics.generating,Generating Functions,Производящие функции,Generatorli funksiyalar
programDetails.mathematics.topics.graphTheory,Graph Theory Fundamentals,Основы теории графов,Graflar nazariyasi asoslari
programDetails.mathematics.topics.inequalities,Inequalities,Неравенства,Tengsizliklar
programDetails.mathematics.topics.limits,Limits and Continuity,Пределы и непрерывность,Limitlar va uzluksizlik
programDetails.mathematics.topics.modular,Modular Arithmetic,Модульная арифметика,Modulli arifmetika
programDetails.mathematics.topics.optimization,Optimization Problems,Задачи оптимизации,Optimallashtirish masalalari
programDetails.mathematics.topics.polynomials,Polynomials,Многочлены,Polinomlar
programDetails.mathematics.topics.primes,Prime Numbers & Factorization,Простые числа и факторизация,Tub sonlar va faktorizatsiya
programDetails.mathematics.topics.probability,Probability,Вероятность,Ehtimollik
programDetails.mathematics.topics.proofTech,Olympiad Proof Techniques,Олимпиадные техники доказательств,Olimpiada isbotlash texnikalari
programDetails.mathematics.topics.recurrence,Recurrence Relations,Рекуррентные соотношения,Rekurrent munosabatlar
programDetails.mathematics.topics.sequences,Sequences & Series,Последовательности и ряды,Ketma-ketliklar va qatorlar
programDetails.mathematics.topics.simulation,Simulation of Contest Conditions,Симуляция соревновательных условий,Musobaqa sharoitlarini simulyatsiya qilish
programDetails.mathematics.topics.strategy,Strategy Development,Разработка стратегии,Strategiya ishlab chiqish
programDetails.mathematics.topics.timeManagement,Time Management,Управление временем,Vaqtni boshqarish
programDetails.mathematics.topics.transformational,Transformational Geometry,Геометрические преобразования,Transformatsion geometriya
programDetails.mathematics.topics.transformations,Equations & Transformations,Уравнения и преобразования,Tenglamalar va almashtirishlar
programDetails.months,months,месяцев,oy
programDetails.participants,Participants,Участники,Ishtirokchilar
programDetails.physics.applicationNote,Open to students with outstanding mathematical and physics talent.,Открыто для студентов с выдающимися способностями в математике и физике.,Ajoyib matematik va fizika iqtidoriga ega talabalar uchun ochiq.
programDetails.physics.curriculumDescription,A structured roadmap covering all essential physics domains.,"Структурированная программа, охватывающая все основные области физики.",Fizikaning barcha muhim sohalarini qamrab oluvchi tuzilgan yo'l xaritasi.
programDetails.physics.description,"Master fundamental laws of nature through theoretical understanding and experimental discovery, with a focus on olympiad-level problem solving.",Освоение фундаментальных законов природы через теоретическое понимание и экспериментальные открытия с акцентом на решение олимпиадных задач.,"Olimpiada darajasidagi masala yechishga e'tibor qaratgan holda, nazariy tushunish va eksperimental kashfiyotlar orqali tabiat qonunlarini o'rganing."
programDetails.physics.duration,10,10,10
programDetails.physics.electromagnetism,Electromagnetism,Электромагнетизм,Elektromagnetizm
programDetails.physics.mechanics,Mechanics,Механика,Mexanika
programDetails.physics.medals,10+ IPhO/ZIO Medals,10+ медалей IPhO/ZIO,10+ IPhO/ZIO medali
programDetails.physics.modernPhysics,Modern Physics,Современная физика,Zamonaviy fizika
programDetails.physics.objectives.1,Master theoretical and experimental physics concepts,Освоить теоретические и экспериментальные концепции физики,Nazariy va eksperimental fizika tushunchalarini o'zlashtirish
programDetails.physics.objectives.2,Apply calculus-based reasoning to olympiad problems,Применять математический анализ к олимпиадным задачам,Olimpiada masalalariga kalkulusga asoslangan fikrlashni qo'llash
programDetails.physics.objectives.3,Perform quantitative modeling and derive physical laws,Выполнять количественное моделирование и выводить физические законы,Miqdoriy modellashtirish va fizik qonunlarni chiqarish
programDetails.physics.objectives.4,Strengthen laboratory and experimental analysis skills,Укрепить навыки лабораторного и экспериментального анализа,Laboratoriya va eksperimental tahlil ko'nikmalarini mustahkamlash
programDetails.physics.objectives.5,Develop contest strategies for multi-step physics problems,Развить стратегии решения многоэтапных задач по физике,Ko'p bosqichli fizika masalalari uchun musobaqa strategiyalarini ishlab chiqish
programDetails.physics.optics,Optics,Оптика,Optika
programDetails.physics.overview,"The Physics Program develops analytical reasoning through intensive theoretical training and experimental physics practice. Students explore classical and modern physics, applying mathematical methods and modeling techniques to solve olympiad-level problems.","Программа по физике развивает аналитическое мышление через интенсивную теоретическую подготовку и практику экспериментальной физики. Студенты изучают классическую и современную физику, применяя математические методы для решения олимпиадных задач.","Fizika dasturi intensiv nazariy tayyorgarlik va eksperimental fizika amaliyoti orqali analitik tafakkurni rivojlantiradi. Talabalar klassik va zamonaviy fizikani o'rganib, matematik usullar va modellashtirish texnikalarini olimpiada darajasidagi masalalarni yechishda qo'llaydilar."
programDetails.physics.overviewExtra,"Curriculum integrates conceptual understanding, experimental methods, and problem-solving strategies to prepare for national and international competitions.","Учебная программа объединяет концептуальное понимание, экспериментальные методы и стратегии решения задач для подготовки к национальным и международным соревнованиям.","O'quv dasturi kontseptual tushunish, eksperimental usullar va masala yechish strategiyalarini milliy va xalqaro musobaqalarga tayyorgarlik uchun birlashtiradi."
programDetails.physics.prereqs.1,Strong foundation in mathematics and basic physics,Прочная база в математике и базовой физике,Matematika va asosiy fizika bo'yicha kuchli bilim
programDetails.physics.prereqs.2,"Understanding of mechanics, thermodynamics, and electromagnetism","Понимание механики, термодинамики и электромагнетизма","Mexanika, termodinamika va elektromagnetizmni tushunish"
programDetails.physics.prereqs.3,High motivation for advanced scientific study,Высокая мотивация к углубленному научному изучению,Ilg'or ilmiy o'qishga yuqori motivatsiya
programDetails.physics.prereqs.4,Successful completion of entrance assessment,Успешное прохождение вступительного тестирования,Kirish baholashni muvaffaqiyatli topshirish
programDetails.physics.problemSolving,Problem Solving,Решение задач,Masala yechish
programDetails.physics.program,Program,Программа,Dasturi
programDetails.physics.students,40+,40+,40+
programDetails.physics.thermodynamics,Thermodynamics,Термодинамика,Termodinamika
programDetails.physics.title,Physics,Физика,Fizika
programDetails.physics.topics.atomic,Atomic Structure,Строение атома,Atom tuzilishi
programDetails.physics.topics.circuits,Circuits,Электрические цепи,Elektr zanjirlari
programDetails.physics.topics.derivations,Multi-step Derivations,Многоэтапные выводы,Ko'p bosqichli chiqarishlar
programDetails.physics.topics.electrostatics,Electrostatics,Электростатика,Elektrostatika
programDetails.physics.topics.energy,Energy & Momentum,Энергия и импульс,Energiya va impuls
programDetails.physics.topics.entropy,Entropy,Энтропия,Entropiya
programDetails.physics.topics.errorPropagation,Error Propagation,Распространение погрешностей,Xatolarning tarqalishi
programDetails.physics.topics.experimental,Experimental Tasks,Экспериментальные задачи,Eksperimental vazifalar
programDetails.physics.topics.geometrical,Geometrical Optics,Геометрическая оптика,Geometrik optika
programDetails.physics.topics.heatWork,Heat & Work,Теплота и работа,Issiqlik va ish
programDetails.physics.topics.interference,Interference & Diffraction,Интерференция и дифракция,Interferensiya va difraksiya
programDetails.physics.topics.iphoSolutions,IPhO Solutions,Решения IPhO,IPhO yechimlari
programDetails.physics.topics.kinematics,Kinematics & Dynamics,Кинематика и динамика,Kinematika va dinamika
programDetails.physics.topics.kineticTheory,Kinetic Theory,Молекулярно-кинетическая теория,Kinetik nazariya
programDetails.physics.topics.magnetism,Magnetism,Магнетизм,Magnetizm
programDetails.physics.topics.maxwell,Maxwell's Equations,Уравнения Максвелла,Maksvell tenglamalari
programDetails.physics.topics.newton,Newton's Laws,Законы Ньютона,Nyuton qonunlari
programDetails.physics.topics.nuclear,Nuclear & Particle Physics,Ядерная физика и физика частиц,Yadro va zarrachalar fizikasi
programDetails.physics.topics.oscillations,Oscillations,Колебания,Tebranishlar
programDetails.physics.topics.quantum,Quantum Physics Basics,Основы квантовой физики,Kvant fizikasi asoslari
programDetails.physics.topics.rotation,Rotational Motion,Вращательное движение,Aylanma harakat
programDetails.physics.topics.thermoCycles,Thermodynamic Cycles,Термодинамические циклы,Termodinamik sikllar
programDetails.physics.topics.waveOptics,Wave Optics,Волновая оптика,To'lqin optikasi
programDetails.prerequisites,Prerequisites,Предварительные требования,Talablar
programDetails.programDetailsTitle,Program Details,Детали программы,Dastur tafsilotlari
programDetails.programOverview,Program Overview,Обзор программы,Dastur haqida
programs.achievements,Achievements,Достижения,Yutuqlar
programs.biology.description,Life sciences and biological research methodologies,Естественные науки и методологии биологических исследований,Hayot fanlari va biologik tadqiqot metodologiyalari
programs.biology.title,Biology,Биология,Biologiya
programs.chemistry.description,Chemical analysis and laboratory skills development,Химический анализ и развитие лабораторных навыков,Kimyo tahlili va laboratoriya ko'nikmalarini rivojlantirish
programs.chemistry.title,Chemistry,Химия,Kimyo
programs.computerScience.description,"Programming, algorithms, and computational thinking","Программирование, алгоритмы и вычислительное мышление","Dasturlash, algoritmlar va hisoblash tafakkuri"
programs.computerScience.title,Computer Science,Информатика,Informatika
programs.learnMore,Learn More,Узнать больше,Batafsil
programs.mathematics.description,Advanced mathematical problem solving and competition preparation,Решение сложных математических задач и подготовка к соревнованиям,Ilg'or matematik masalalarni yechish va musobaqaga tayyorgarlik
programs.mathematics.title,Mathematics,Математика,Matematika
programs.physics.description,Theoretical and experimental physics olympiad training,Теоретическая и экспериментальная подготовка к олимпиадам по физике,Nazariy va eksperimental fizika olimpiadasi tayyorgarligi
programs.physics.title,Physics,Физика,Fizika
programs.students,Students,Студенты,Talabalar
programs.subtitle,Comprehensive training programs designed to prepare exceptional students for national and international science olympiads.,"Комплексные программы подготовки, разработанные для подготовки выдающихся студентов к национальным и международным научным олимпиадам.",Milliy va xalqaro fan olimpiadalari uchun istisno talabalar tayyorlash uchun mo'ljallangan keng qamrovli tayyorgarlik dasturlari.
programs.title,Our Programs,Наши Программы,Bizning Dasturlarimiz
programs.titleHighlight,Programs,Программы,Dasturlar
programs.viewAllPrograms,View All Programs,Посмотреть все программы,Barcha dasturlarni ko'rish